RAW_INGREDIENT_NAME,MASTERED_INGREDIENT_NAME
00 flour italian pizza,00 flour
unbleached all purpose flour,all purpose flour
ap flour,all purpose flour
all?purpose flour,all purpose flour
all purpose flour bread,all purpose flour
flour all purpose baking powder salt,all purpose flour
flour and king arthur all purpose,all purpose flour
all purpose flour,all purpose flour
unbleached all purpose white flour,all purpose flour
unbleached all ?purpose flour,all purpose flour
almond flour,almond flour
baking powder,baking powder
baking powder sugar,baking powder
bread flour,bread flour
a bread flour,bread flour
flour bread,bread flour
king arthur bread flour,bread flour
unbleached bread/strong flour,bread flour
bread flour [530g],bread flour
brown sugar,brown sugar
brown sugar a,brown sugar
dark brown sugar,brown sugar
packed dark brown sugar,brown sugar
butter and oil,butter
butter oil,butter
salted butter,butter
stick unsalted butter cold,butter
tablepoons unsalted butter,butter
talespoons unsalted butter,butter
tbsp unsalted butter,butter
unsalted butter,butter
unsalted butter and for coating dough top,butter
unsalted butter cooled,butter
butter,butter
buttermilk,buttermilk
buttermilk at room temperature,buttermilk
buttermilk milk,buttermilk
buttermilk or plain low fat yogurt,buttermilk
cultured low fat buttermilk shy,buttermilk
low fat buttermilk,buttermilk
cake flour,cake flour
cane sugar,cane sugar
cornmeal flour,cornmeal flour
cream cheese butter,cream cheese
demerara sugar,demerara sugar
egg,egg
flour,flour
ancient grains flour,flour
low protein flour,flour
flour mix,flour
heavy cream,heavy cream
teaspoon lemon,lemon
millet flour,millet four
oat flour,oat flour
extra virgin olive oil,olive oil
olive oil salt,olive oil
pearl sugar,pearl sugar
potato flakes flour,potato flour
potato flour,potato flour
confectioners' sugar,powdered sugar
powdered sugar,powdered sugar
confectioners sugar,powdered sugar
confectioner ' s sugar,powdered sugar
brown rice flour,rice flour
sweet rice flour,rice flour
glutinous rice flour sweet,rice flour
rice flour,rice flour
white rice flour,rice flour
white rice flour rolling,rice flour
rye flour,rye flour
stone ground rye flour,rye flour
medium rye flour,rye flour
white rye flour,rye flour
pumpernickel or dark rye flour,rye flour
dark rye flour,rye flour
whole rye pumpernickel flour,rye flour
salt,salt
salt and pepper,salt and pepper
durum semolina flour,semolina flour
semolina flour,semolina flour
sorghum flour,sorghum flour
spelt flour,spelt flour
raw cane sugar,sugar
sugar,sugar
honey crystals or sugar,sugar
white sugar,sugar
demerara sugar white,sugar
a sugar,sugar
raw sugar,sugar
sugar optional;,sugar
tapioca flour,tapioca flour
teff flour,teff flour
turbinado sugar,turbinado sugar
vanilla extract,vanilla extract
cool water,water
water,water
white wheat flour,whole wheat flour
whole wheat flour ' s red,whole wheat flour
white whole wheat flour,whole wheat flour
whole wheat flour,whole wheat flour
wholemeal flour,whole wheat flour
whole wheat pastry flour,whole wheat flour
whole wheat flour more all purpose,whole wheat flour
yeast,yeast
vegetable oil,vegetable oil
corn oil,corn oil
sesame oil,sesame oil
coconut oil,coconut oil
oil,oil
garlic oil,garlic oil
vegetable oil cooking spray,vegetable oil
chive infused oil,infused oil
garlic olive oil,olive oil
canola oil,canola oil
tbsp corn or canola oil,canola oil
corn or canola oil,canola oil
non stick cooking spray or vegetable oil,vegetable oil
cooking spray vegetable oil,vegetable oil
cl olive oil,olive oil
olive oil mayonnaise,mayonnaise
flavorless oil,oil
olive oil,olive oil
sesame seed oil,sesame seed oil
some good olive oil,olive oil
parmesan cheese,parmesan cheese
provolone cheese,provolone cheese
cheddar cheese,cheddar cheese
cheddar or other cheese,cheddar cheese
cream cheese,cream cheese
stilton blue cheese,blue cheese
blue cheese,blue cheese
hard cheese,hard cheese
monterrey jack cheese,monterey jack cheese
dry mozzarella cheese,mozzarella cheese
american cheese,american cheese
mozzarella cheese,mozzarella cheese
goat cheese,goat cheese
halloumi cheese,halloumi cheese
ball fresh mozzarella cheese,mozzarella cheese
diced pepper jack cheese,pepper jack cheese
cheese soft goat and,goat cheese
feta cheese,feta cheese
pecorino romano cheese,pecorino romano cheese
sharp cheddar cheese,cheddar cheese
swiss cheese,swiss cheese
cottage cheese,cottage cheese
cheese,cheese
gruyere cheese,gruyere cheese
shredded swiss cheese,swiss cheese
monterey jack cheese,monterey jack cheese
goat cheese chevre,goat cheese
parmigiano reggiano cheese,parmigiano reggiano cheese
grana padano cheese,grana padano cheese
soft cheese,soft cheese
instant yeast,instant yeast
baking soda,baking soda
eggs,egg
milk,milk
lemon,lemon
honey,honey
oregano,oregano
