UOM_MAP_ITEM_ID,SOURCE_UNIT,SOURCE_UNIT_CATEGORY,SOURCE_INGREDIENT,DESTINATION_UNIT,DESTINATION_UNIT_CATEGORY,CONVERSION_FACTOR
1,teaspoon,volume,bread flour,gram,weight,2.5
2,tablespoon,volume,bread flour,gram,weight,7.5
3,cup,volume,bread flour,gram,weight,120
4,teaspoon,volume,olive oil,gram,weight,4.166666667
5,tablespoon,volume,olive oil,gram,weight,12.5
6,cup,volume,olive oil,gram,weight,200
7,teaspoon,volume,salt and pepper,gram,weight,2.666666667
8,tablespoon,volume,salt and pepper,gram,weight,8
9,cup,volume,salt and pepper,gram,weight,128
10,teaspoon,volume,vanilla extract,gram,weight,4.666666667
11,tablespoon,volume,vanilla extract,gram,weight,14
12,cup,volume,vanilla extract,gram,weight,224
13,teaspoon,volume,whole wheat flour,gram,weight,2.354166667
14,tablespoon,volume,whole wheat flour,gram,weight,7.0625
15,cup,volume,whole wheat flour,gram,weight,113
16,teaspoon,volume,cake flour,gram,weight,2.5
17,tablespoon,volume,cake flour,gram,weight,7.5
18,cup,volume,cake flour,gram,weight,120
19,teaspoon,volume,all purpose flour,gram,weight,2.5
20,tablespoon,volume,all purpose flour,gram,weight,7.5
21,cup,volume,all purpose flour,gram,weight,120
22,teaspoon,volume,rye flour,gram,weight,2.208333333
23,tablespoon,volume,rye flour,gram,weight,6.625
24,cup,volume,rye flour,gram,weight,106
25,teaspoon,volume,bread flour,gram,weight,2.5
26,tablespoon,volume,bread flour,gram,weight,7.5
27,cup,volume,bread flour,gram,weight,120
28,teaspoon,volume,almond flour,gram,weight,2
29,tablespoon,volume,almond flour,gram,weight,6
30,cup,volume,almond flour,gram,weight,96
31,teaspoon,volume,rice flour,gram,weight,2.958333333
32,tablespoon,volume,rice flour,gram,weight,8.875
33,cup,volume,rice flour,gram,weight,142
34,teaspoon,volume,cornmeal flour,gram,weight,2.875
35,tablespoon,volume,cornmeal flour,gram,weight,8.625
36,cup,volume,cornmeal flour,gram,weight,138
37,teaspoon,volume,spelt flour,gram,weight,2.0625
38,tablespoon,volume,spelt flour,gram,weight,6.1875
39,cup,volume,spelt flour,gram,weight,99
40,teaspoon,volume,millet four,gram,weight,2.854166667
41,tablespoon,volume,millet four,gram,weight,8.5625
42,cup,volume,millet four,gram,weight,137
43,teaspoon,volume,oat flour,gram,weight,1.916666667
44,tablespoon,volume,oat flour,gram,weight,5.75
45,cup,volume,oat flour,gram,weight,92
46,teaspoon,volume,00 flour,gram,weight,2.416666667
47,tablespoon,volume,00 flour,gram,weight,7.25
48,cup,volume,00 flour,gram,weight,116
49,teaspoon,volume,tapioca flour,gram,weight,2.354166667
50,tablespoon,volume,tapioca flour,gram,weight,7.0625
51,cup,volume,tapioca flour,gram,weight,113
52,teaspoon,volume,semolina flour,gram,weight,3.395833333
53,tablespoon,volume,semolina flour,gram,weight,10.1875
54,cup,volume,semolina flour,gram,weight,163
55,teaspoon,volume,sorghum flour,gram,weight,2.875
56,tablespoon,volume,sorghum flour,gram,weight,8.625
57,cup,volume,sorghum flour,gram,weight,138
58,teaspoon,volume,potato flour,gram,weight,3.833333333
59,tablespoon,volume,potato flour,gram,weight,11.5
60,cup,volume,potato flour,gram,weight,184
61,teaspoon,volume,teff flour,gram,weight,2.8125
62,tablespoon,volume,teff flour,gram,weight,8.4375
63,cup,volume,teff flour,gram,weight,135
64,teaspoon,volume,powdered sugar,gram,weight,4.729166667
65,tablespoon,volume,powdered sugar,gram,weight,14.1875
66,cup,volume,powdered sugar,gram,weight,227
67,teaspoon,volume,cane sugar,gram,weight,0
68,tablespoon,volume,cane sugar,gram,weight,0
69,teaspoon,volume,demerara sugar,gram,weight,4.583333333
70,tablespoon,volume,demerara sugar,gram,weight,13.75
71,cup,volume,demerara sugar,gram,weight,220
72,teaspoon,volume,turbinado sugar,gram,weight,3.75
73,tablespoon,volume,turbinado sugar,gram,weight,11.25
74,cup,volume,turbinado sugar,gram,weight,180
75,teaspoon,volume,pearl sugar,gram,weight,0
76,tablespoon,volume,pearl sugar,gram,weight,0
77,teaspoon,volume,vegetable oil,gram,weight,4.125
78,tablespoon,volume,vegetable oil,gram,weight,12.375
79,cup,volume,vegetable oil,gram,weight,198
80,teaspoon,volume,corn oil,gram,weight,0
81,tablespoon,volume,corn oil,gram,weight,0
82,teaspoon,volume,sesame oil,gram,weight,0
83,tablespoon,volume,sesame oil,gram,weight,0
84,teaspoon,volume,coconut oil,gram,weight,4.708333333
85,tablespoon,volume,coconut oil,gram,weight,14.125
86,cup,volume,coconut oil,gram,weight,226
87,teaspoon,volume,garlic oil,gram,weight,4.125
88,tablespoon,volume,garlic oil,gram,weight,12.375
89,cup,volume,garlic oil,gram,weight,198
90,teaspoon,volume,infused oil,gram,weight,4.125
91,tablespoon,volume,infused oil,gram,weight,12.375
